numeroFrases;emocion;frase;idAudio
353;Feliz;Vale, muchísimas gracias;9
354;Feliz;Vale, doña Sonia, que tenga una excelente tarde;9
355;Feliz;Hola, muy buenas tardes;10
356;Feliz;Muy buenas tardes;10
357;Feliz;Mucho gusto, mi nombre es Cristian de parte de Claro, con quien tengo el gusto de hablar;10
358;Neutral;Con Daniela Cortés;10
359;Feliz;Hola, muy buenas tardes Daniela, ¿cómo te encuentras el día de hoy? Muy, muy bien;10
360;Feliz;Daniela, sí, me comunico contigo porque viendo la excelente fidelización que tienes con nosotros, el día de hoy tenemos una promoción para que nosotros ya vemos acá nuestro sistema, que tú ya tienes plan de telefonía móvil con nosotros;10
361;Neutral;Entonces tenemos una promoción para un plan hogar, no sé si estás interesada;10
362;Neutral;¿Qué promoción es? Sí, claro, mira, te estamos ofreciendo 250 gigas de internet de fibra óptica con una parabólica que incluye 120 canales en HD, esto por un precio de 90 mil pesos;10
363;Feliz;Este precio se mantendrá por un año, pues ya mirando la fidelidad que tú tienes y los buenos pagos que has tenido con nosotros;10
364;Neutral;La familia, claro, no sé si estás interesada;10
365;Enojado;Sí, 90 mil pesos durante un año, o sea, no van a subir la factura nada, nada, 90 mil netos;10
366;Neutral;Durante los dos primeros meses son 250 gigas de internet, 120 canales en HD, por los mismos 90 mil pesos no se verá modificado ningún precio en tu factura;10
367;Neutral;Sí, sí me gustaría, me gustaría porque yo estoy con el otro operador, estoy pagando más;10
368;Neutral;Perfecto;10
369;Enojado;No tengo esas gigas;10
370;Neutral;Perfecto, entonces, por favor, a tu número;10
371;Neutral;A tu número te voy a enviar un código de seis dígitos, me lo confirmas una vez te llegue, ¿vale? Dale;10
372;Neutral;Y ya te lo acabé de enviar;10
373;Neutral;52;10
374;Neutral;52;10
375;Neutral;16, 84;10
376;Neutral;Ok, vale, Daniela, me confirmas, por favor, que tu cédula termina en 80;10
377;Neutral;Sí, 52, 640, 280;10
378;Feliz;Perfecto, listo;10
379;Neutral;Entonces, esas modificaciones;10
380;Neutral;Ah, bueno, me puedes, por favor, confirmar si el día lunes estás disponible en horario AM, horario PM para recibir a nuestros técnicos que te realicen instalación del producto;10
381;Neutral;Horario PM;10
382;Neutral;Perfecto, te recuerdo que el horario PM empieza a correr desde las 12 hasta las 5 de la tarde, ¿vale? Sí, perfecto, sí, desde las 12 yo puedo;10
383;Feliz;Vale, perfecto, Daniela, entonces eso sería todo;10
384;Feliz;Muchas gracias por adquirir el paquete y espero que lo disfrutes;10
385;Feliz;Muchísimas gracias a ti;10
386;Neutral;Gracias;10
387;Neutral;Hasta luego;10
388;Neutral;Hasta luego;10
389;Neutral;Hasta luego;10
390;Feliz;Señor Servicio Claro, muy buenas tardes;11
391;Neutral;Mi nombre es Alejandro Gutiérrez;11
392;Neutral;¿En qué le puedo colaborar? Muy buenas tardes, Alejandro;11
393;Enojado;Oye, mira, lo que pasa es que me están llegando a mi celular unos mensajes donde me están ofreciendo una promoción con Claro, una promoción a hogar;11
394;Neutral;Yo actualmente cuento con línea móvil, pero me gustaría saber de qué trata la promoción;11
395;Neutral;Claro, sí, señora;11
396;Neutral;¿Con quién tengo el gusto? Con Claudia Díaz;11
397;Feliz;Claudia, mucho gusto;11
398;Neutral;¿Usted es la titular del servicio de hogar que tiene actualmente? Sí, señor;11
399;Neutral;Bueno, ¿podría brindarme el número de su documento, por favor? Claro, 41-580-016;11
400;Neutral;Ok;11
401;Neutral;¿De qué ciudad me está llamando, señora Claudia? De Bogotá;11
402;Neutral;Vale;11
403;Enojado;Bueno, señora Claudia, el servicio que usted tiene actualmente sí es un paquete que es inferior al que le está ofreciendo por medio del mensaje de texto;11
404;Enojado;Veo acá que el paquete que le ofrecen es de 110 megas con solo televisión y internet;11
405;Neutral;En este caso, no vendría con la telefonía;11
406;Neutral;¿No habría ningún problema? ¿Con la telefonía móvil? Sí, no, telefonía local;11
407;Neutral;No, no habría problema porque el móvil sería casi el fijo;11
408;Feliz;Sí, tiene toda la razón, claro;11
409;Neutral;Bueno, listo;11
410;Neutral;Este tiene un costo de 70 mil pesos y el servicio de televisión es el servicio coaxial;11
411;Neutral;Tiene aproximadamente 130 canales y 20 que son de;11
412;Neutral;Canales de música;11
413;Neutral;Canales de música;11
414;Neutral;El internet, si es tanto de subida como de bajada, es de 70 megas, entonces no habría ningún problema;11
415;Neutral;¿Cuántos dispositivos generalmente se van a conectar en el domicilio? Por lo mucho son tres dispositivos;11
416;Feliz;Le queda perfecto, señora Claudia;11
417;Neutral;Sí;11
418;Neutral;Entonces, ¿desea que podamos hacerle una actualización a su servicio? La portabilidad, sí, sí, da una;11
419;Feliz;Vale, perfecto;11
420;Neutral;Pero entonces, para ello, tengo que enviarle un número de;11
421;Neutral;Un código, perdón;11
422;Neutral;A su teléfono, aquí me aparece el 313-58-37;11
423;Neutral;Entonces, yo le voy a hacer llegar este número;11
424;Neutral;Usted hace el número y usted me va a indicar el código y con eso podemos realizar la actualización;11
425;Neutral;Tenga algo muy en cuenta, señora Claudia, que esto se renueva nuevamente el año, por un año;11
426;Neutral;Y pues siempre los cortes se van a realizar los días 15 para que dentro de los cinco primeros días hábiles usted realice el pago, ¿vale? Sí, perfecto;11
427;Neutral;Entonces, permítame, ahí se lo estoy enviando;11
428;Neutral;Listo, confirmen, por favor;11
429;Neutral;Ya voy a mirar;11
430;Neutral;Gracias;11
431;Neutral;10, 16, 24;11
432;Neutral;24, ok;11
433;Neutral;Dame un momento en la línea, por favor;11
434;Neutral;¿Dónde está el código? ¿Dónde está el código? ¿Dónde está el código? ¿Dónde está el código? ¿Dónde está el código? ¿Dónde está el código? Perfecto, señora Claudia;11
435;Neutral;Ya quedó registrado y actualizado;11
436;Neutral;Entonces, durante el lapso de 24 horas, posiblemente va a aparecer en el sistema, en el televisor, sin servicio, pero es porque se están realizando las actualizaciones, pero no dura más de cinco minutos la inactividad del servicio, ¿vale? Ok, dale;11
437;Feliz;Usted es muy amable;11
438;Feliz;Muchísimas gracias;11
439;Neutral;No, señora, con todo el gusto;11
440;Neutral;¿Sería así la llamada? No sé si requiere algún otro servicio adicional;11
441;Neutral;No, no;11
442;Neutral;Solamente estaba interesada en este;11
443;Feliz;Vale, perfecto;11
444;Feliz;Entonces, le deseo una buena noche;11
445;Neutral;Gracias;11
446;Neutral;Gracias;11
447;Neutral;Gracias;11
448;Neutral;Gracias;11
449;Neutral;Buenas tardes;12
450;Feliz;Hola, muy buenas tardes;12
451;Neutral;Buenas tardes, ¿hablo con la señora Sofía? Sí, habla con ella;12
452;Neutral;Buenas tardes, doña Sofía, habla con Camilo;12
453;Feliz;El día de hoy me comunicó con usted de parte de Claro, porque estamos haciendo un seguimiento de satisfacción de parte de nuestros clientes;12
454;Neutral;Entonces, yo quisiera saber si la última vez que usted se comunicó con uno de nuestros asesores, que fue el día 2 de julio, para adquirir un nuevo producto con nosotros en Claro Hogar, la llamada fue de manera satisfactoria;12
455;Feliz;Sí, sí, a mí me gustó mucho;12
456;Neutral;Me atendió un muchacho que se llama Camilo;12
457;Neutral;Me acuerdo nomás del nombre porque se parece al nombre de mi hijo;12
458;Neutral;Ok, perfecto;12
459;Neutral;O sea, que usted calificaría esa llamada como que el asesor respondió todas sus preguntas y solventó la necesidad que usted tenía en el momento;12
460;Feliz;Sí, sí, me gustó;12
461;Neutral;Ok, perfecto, doña Sofía;12
462;Neutral;Entonces, bueno, eso sería todo por esta llamada;12
463;Neutral;No sé si de mi parte el día de hoy usted tenga alguna solicitud o algo en la que yo la pueda ayudar;12
464;Neutral;No, no, no;12
465;Feliz;Yo tengo todo el día, tengo mis líneas y todo bien;12
466;Feliz;Ah, listo, perfecto;12
467;Feliz;Listo, perfecto, doña Sofía;12
468;Neutral;Entonces, eso sería todo por el día de hoy;12
469;Feliz;Espero tenga un resto de tarde muy feliz;12
470;Neutral;Hasta luego;12
471;Neutral;Ok, hasta luego;12
472;Feliz;Hola, buenas tardes;13
473;Feliz;Hola, buenas tardes;13
474;Neutral;¿Halo con la señora Fernanda? Sí, habla con ella;13
475;Feliz;Buenas tardes, doña Fernanda;13
476;Neutral;Doña Fernanda, es para ofrecer el día de hoy un plan de Claro;13
477;Neutral;No sé si usted está interesada;13
478;Neutral;¿Y de qué trata el plan? El plan es un plan básico donde usted incluye 70 gigas de internet, minutos ilimitados, y este plan entonces incluye WhatsApp, Instagram ilimitados;13
479;Enojado;¿Está interesada, sí o no? Pero, ¿cómo sería? Es que no han entendido el WhatsApp y eso;13
480;Neutral;Ay, por Dios, señora;13
481;Neutral;O sea, póngame, pues, cuidado;13
482;Neutral;Usted incluye 70 gigas de internet, incluye minutos y mensajes ilimitados a nacionales e internacionales;13
483;Enojado;Cuando usted ingresa a Instagram y a WhatsApp, no le consume los datos;13
484;Enojado;¿Está interesada? ¿Y Facebook también? Señora, las aplicaciones que le dije, Instagram y WhatsApp, ¿y Facebook? Ay, qué joda;13
485;Neutral;No, señora, Facebook no;13
486;Enojado;¿Está interesada? No, no me interesa, no me interesa, no;13
487;Neutral;No me atreve a Facebook;13
488;Feliz;Ah, vale, listo;13
489;Feliz;Entonces, muchas gracias;13
490;Neutral;Hasta luego;13
491;Feliz;Muy buenas tardes;14
492;Feliz;Muy buenas tardes;14
493;Neutral;¿Hablo con la señora Sonia? Sí, habla con ella;14
494;Feliz;Hola, buenas tardes, señora Sonia;14
495;Feliz;Señora Sonia, mucho gusto;14
496;Neutral;Mi nombre es Cristian;14
497;Neutral;El día de hoy me comunico con usted para ofrecerle un plan hogar con Claro;14
498;Neutral;No sé si usted está interesada;14
499;Feliz;Yo tengo plan hogar, pero de pronto es más económico, así me interesa;14
500;Neutral;Ok, doña Sonia;14
501;Neutral;Usted, por favor, ¿me puede confirmar su número de cédula? Sí, señor;14
502;Neutral;52-913-619 de Bogotá;14
503;Neutral;Ok;14
504;Neutral;¿Me la puede repetir? 52-913-619 de Bogotá;14
505;Neutral;Ok;14
506;Neutral;Doña Sonia, el plan que yo le estoy ofreciendo, para el que la llamo el día de hoy, es para ofrecerle entonces su plan hogar, donde usted va a pagar 120 mil pesos por 150 gigas;14
507;Neutral;De internet, de fibra óptica y parabólica de canales, de más de 200 canales;14
508;Neutral;Esos canales todos son en HD;14
509;Neutral;No sé si usted está interesada;14
510;Enojado;No, está muy costoso;14
511;Enojado;Ay, qué maristra;14
512;Enojado;No quieren comprar los planes;14
513;Neutral;Doña Sonia, pues realmente validando la cantidad de canales y las megas, yo creo que el precio está justo;14
514;Enojado;No, porque yo estoy pagando ahorita menos;14
515;Enojado;Yo pensé que era que me iba a llamar porque era menos;14
516;Neutral;Estoy pagando 100 mil;14
517;Neutral;Bueno;14
518;Neutral;No, entonces, muchas gracias;14
519;Feliz;Muchas gracias por su tiempo;14
520;Neutral;Hasta luego;14
521;Neutral;Hasta luego;14
522;Neutral;¿Qué tal?;14
523;Neutral;hola buenas tardes buenas tardes con quien tengo el gusto de hablar con Jacqueline hola Jacqueline buenas tardes habla con Juan en que le puedo ayudar el día de hoy lo que sucede es que mira que yo entro a mirar mi parabólica mis canales y no o sea no como si no tuviera yo nada acá ni de internet ni de televisión ni de nada ok usted ya aprobó reiniciando el modem de la parabólica ya reinicie como dos veces pero hace ya como una hora vuelvo a reiniciar por favor pero será que si porque es que otra vez reiniciando y reiniciando eso si doña Sonia es necesario que se reinicie el modem para ver si de pronto así soluciona que pena mi nombre es Jacqueline ah listo si vale doña Jacqueline entonces puede reiniciar el modem bueno voy a reiniciarlo a ver ojalá que funcione ok me confirmo ya ya lo estoy reiniciando pero ya ya se está llegando pero yo miro para que eso no tenga ningún sentido no doña Sonia lo que usted me está doña Jacqueline lo que usted me está solicitando no tiene sentido pero entonces me confirma cuando se reinicie el modem total ya ya se reinició que hago ahora a ver entonces por favor por favor en el televisor doña Sonia no me interrumpa gracias cálmese doña Jacqueline ya puede verificar entonces si la parabólica le corre correctamente me confirma no nada por eso le digo que yo no puedo hacer el trabajo era para que viniera alguien acá hacer el favor entonces en un momento la transfiero al área encargada pues porque según acá yo estoy viendo que todo le funcionaba doña Jacqueline bueno si señor hasta luego;15
524;Neutral;¿Aló? ¿Aló? Buenas tardes, ¿con quién tengo el gusto de hablar? Con Daniela;16
525;Feliz;Daniela, buenas tardes;16
526;Enojado;Lo que pasa es que acá en nuestra base de datos nos reporta que usted quiere cancelar el plan con nosotros, con Claro, ¿es correcto? Sí, sí, sí, señor;16
527;Enojado;¿Por qué lo quiere cancelar? Porque ya no quiero tener Claro, quiero tener otro, quiero probar con otro;16
528;Enojado;Ay, qué fastidio;16
529;Enojado;¿Y por qué lo quiere cancelar? O sea, específicamente, ¿por qué? Porque quiero, o sea, porque ya quiero cambiar de;16
530;Enojado;Sí, doña Sonia, pero, doña Daniela, qué pena, pero usted me tiene que ser más específico, porque, o sea, si lo quiere cancelar es por algo, ¿no? Porque pronto quiero conseguir uno más económico;16
531;Enojado;Pero más económico, yo siento que el que ya tiene es muy económico, ¿no le parece? No, porque es que se va mucho, a veces no tengo el internet, se cae mucho;16
532;Feliz;Ah, bueno, ah, listo;16
533;Neutral;Pues, doña Daniela, nada, entonces, pues, entonces yo era solo para confirmar que quería cancelar el plan, en unos momentos se comunicarán del área encargada para cancelar el plan, ¿listo? Bueno, sí;16
534;Feliz;Bueno, ojalá que sea rápido;16
535;Neutral;Bueno, hasta luego, chao;16
536;Neutral;Hasta luego;16
537;Feliz;Hola, buenas tardes;17
538;Neutral;Buenas tardes;17
539;Neutral;¿Aló, con la señora Carolina? Sí, señor;17
540;Neutral;Hola, buenas tardes, señora Carolina;17
541;Neutral;Bueno, me comunico de parte del área de calidad para verificar si últimamente usted ha tenido buena percepción de parte de Claro;17
542;Enojado;La verdad no, la verdad no, no me he sentido satisfecha con la atención de Claro;17
543;Enojado;¿Y por qué no? Porque, por ejemplo, yo otra semana, el señor Daniel Lalo, que fue a la internet y se cayó;17
544;Neutral;Qué fácil, señora;17
545;Neutral;Y ya me dijo el señor Teodorao;17
546;Neutral;Ah, bueno, pero ¿y usted hizo los reinicios del modem? Sí, yo hice todo, yo hice todo el trabajo;17
547;Enojado;No creo, no creo, pero bueno, ¿y aparte de eso tiene alguna otra inconformidad en precio o algo? No, pues no, el precio es un poquito alto porque se manofreció más económico;17
548;Feliz;Ah, bueno;17
549;Neutral;Bueno, doña Carla, entonces pues yo no veo como inconformidad muy grande y todo, igual nosotros anotamos eso para tenerlo presente, ¿listo? Bueno;17
550;Neutral;Bueno, bueno, hasta luego;17
551;Neutral;Aló, muy buenas tardes;18
552;Neutral;Buenas tardes;18
553;Neutral;Aló con la señora Carolina;18
554;Neutral;Sí, señor;18
555;Feliz;Buenas tardes, doña Carolina;18
556;Neutral;Nos comunicamos de acá;18
557;Neutral;Claro, es para informarle el día de hoy que estamos haciendo una promoción;18
558;Neutral;No sé si usted está interesada en adquirirla;18
559;Neutral;¿Podrías contarme de qué trata? Bueno, sí;18
560;Neutral;La promoción es un plan móvil de minutos ilimitados que haya nacionales e internacionales;18
561;Neutral;El mensaje es igual y incluye 70 gigas de internet;18
562;Neutral;Y ese plan tiene un valor de 50 mil;18
563;Enojado;¿Está interesada, sí o no? Sí, pues, ¿podrías darme un poquito más de información sobre él? Qué fastidiosa señora;18
564;Neutral;Pues no, pues esa es la información como general;18
565;Neutral;O sea, realmente es los 70 gigas, minutos ilimitados, mensajes ilimitados;18
566;Neutral;Y, bueno, de pronto hay adicional;18
567;Neutral;A ver si le funciona a usted;18
568;Enojado;Es de que no incluye los datos;18
569;Enojado;No incluye, o sea, al momento de utilizar Facebook, Instagram y WhatsApp, no le consumen datos;18
570;Neutral;Entonces, no sé si está interesada;18
571;Neutral;Pues agradecería mucho si tratas de ser un poco más suave con lo que dices y me explicas un poco más sobre la información;18
572;Enojado;Qué joda;18
573;Neutral;No, señora, entonces dejemos así;18
574;Neutral;Muchas gracias;18
575;Feliz;Que tenga una feliz tarde;18
576;Neutral;OK;18
577;Neutral;Buenas tardes, mi nombre es Otoniel Gutiérrez, ¿en qué le puedo colaborar? Buenas tardes, es que estoy interesada en comprar un celular;19
578;Neutral;Claro, ¿con quién tengo el gusto? Con Catalina;19
579;Neutral;Catalina, vale;19
580;Neutral;Catalina, ¿usted ya tiene servicio con nosotros o es primera vez? Ya tengo servicio con usted;19
581;Neutral;Bueno, deme su documento de identidad, hágame el favor;19
582;Neutral;Rápido;19
583;Neutral;1-0-33-720-489;19
584;Neutral;¿4-39? 4-89;19
585;Neutral;4-69? 89;19
586;Enojado;¿Se puede ubicar un poquito más cerca al teléfono, señora? Hágame el favor;19
587;Neutral;¿Ahí lo escuchas? No, no lo escucho, no lo escucho;19
588;Neutral;¿Ahí? Sí;19
589;Neutral;¿Qué número? 1-0-33-720-489;19
590;Neutral;Vale, ¿y qué teléfono está interesada en este momento? Estoy interesada en comprar un iPhone;19
591;Neutral;Sí, obvio, pero ¿qué modelo de iPhone? Un iPhone 15;19
592;Neutral;Ah, un iPhone 15;19
593;Neutral;Bueno, hay de diferentes precios, depende del paquete que usted va a utilizar;19
594;Neutral;¿Usted va a utilizarlo con un paquete con plan postpago o solamente quiere comprar el teléfono? No, solamente estoy interesada en el teléfono;19
595;Neutral;Bueno, listo;19
596;Neutral;Ahí tengo el iPhone 15, tiene un coste de 2 millones de pesos, y el iPhone 15 Pro tiene un coste de 2 millones;19
597;Neutral;¿Cuál quiere comprar? ¿Cuál quiere comprar? ¿Cuál es mejor? ¿Podrías decirme tú? No, ya tendría que usted mirar en la página para ver detalles técnicos;19
598;Neutral;¿Algo más le puedo colaborar, señora? ¿Algunos modelos más tienes de iPhone? No, por el momento solo se maneja esos tipos de modelos;19
599;Feliz;Vale, gracias;19
600;Feliz;Bueno, que estén muy bien;19
601;Neutral;Hasta luego;19
602;Neutral;Buenas tardes;19
603;Neutral;Gracias por llamar a la vez;19
604;Neutral;Hasta luego;19
605;Neutral;Hola, buenas tardes Buenas tardes ¿Con quién tengo el gusto de hablar? Con Catalina ¿Contactándome con Claro? Sí, aquí es Claro, sí, señora Catalina ¿Qué necesita? Es que estoy interesada en contratar un servicio de internet para la casa ¿Y ya sabe qué plan quiere? No, realmente, pero;20
606;Neutral;Podrías contarme, pero por favor, rápido Es que estoy muy afanada Bueno, pues digamos que para ese tipo de cosas, pues digamos que el afán no es como muy bueno Pero bueno, yo le explico ¿Actualmente ya cuenta con algún plan hogar de otra línea? No, señor Ok, bueno, digamos que tenemos un plan básico No sé si pronto se necesiten muchas gigas o pocas gigas Bueno, ¿me puede confirmar desde qué ciudad se comunica? Para ver la disponibilidad ¿Puedes repetirme otra vez más, Juro, por favor? ¿Qué es eso? Lámpara ¿Qué ciudad se comunica? Lo siento, no te escucho ¿Qué ciudad se comunica, señora Catalina? De Bogotá Ah, ok Por favor, ¿me confirma si es al norte o al sur de la ciudad? Al sur, por Marruecos ¿Puedes apurarte, por favor? Ok, bueno, doña Catalina, entonces le ofrezco un plan, no sé si le sirva realmente Que es de 100 gigas Es una parábola de 100 gigas, ¿no? Es una parábola básica, realmente no tiene muchos canales Los que tiene no son en HD Y tiene telefonía y ese plan vale 130 mil ¿Les sirve? ¿Tienes uno más económico? Sí, Catalina, tenemos uno donde las gigas ya bajan a la mitad Entonces, digamos, bueno, digamos que en este caso, digamos, hay por;20
607;Enojado;Si quiere comprarlo, uno es de 60 gigas, 50 canales Y este no incluye telefonía y ese vale 80 mil pesos ¿Qué es eso? ¿Qué es eso? ¿Ese o qué? No sé, otro más económico que tenga Pero rápido, por favor Sí, esta señora No, doña Catalina, no tenemos más Entonces, no sé si le interesa ese último que le ofrecí Ay, no, muchas gracias Hasta luego;20
608;Feliz;Bienvenidos a Claro, muy buenas tardes;21
609;Neutral;Mi nombre es Alejandro Gutiérrez;21
610;Neutral;¿En qué le puedo colaborar? Buenas tardes, Alejandro;21
611;Neutral;Sí, es para reportar una queja;21
612;Neutral;Sí, cuénteme;21
613;Enojado;Lo que pasa es que desde ayer no tengo internet en mi casa, entonces quisiera saber por qué pasa esto con Camilo;21
614;Neutral;Camilo, bueno, ¿y usted es el titular del servicio? Sí, señor;21
615;Neutral;Regáleme el número de su celular, por favor;21
616;Neutral;Rápido;21
617;Neutral;Es 1-020-2558;21
618;Neutral;¿Camilo Andrés Gutiérrez? Camilo Andrés Gutiérrez, sí, señor;21
619;Enojado;Vale, ¿y cuál es el incomete que se le está presentando? Sí, desde ayer no tengo internet;21
620;Neutral;Dame un momento, estoy verificando;21
621;Feliz;No, pero aquí estoy viendo que el servicio está funcionando correctamente;21
622;Neutral;¿Usted ya ha apagado los dispositivos? ¿Los ha vuelto a conectar? Sí, ya los reinicié, los desconecté;21
623;Neutral;Sí, incluso anoche dejé todo el modem desconectado para saber si era eso;21
624;Enojado;¿Y por qué no se comunicó con nosotros durante el transcurso de la noche? Porque me intenté comunicar, pero no contestaron, Alejandro;21
625;Feliz;Qué lindo, un momento;21
626;Enojado;Ah, bueno, es que estoy viendo que está una falla en servicio de la zona;21
627;Neutral;Ok, pero entonces yo quisiera saber si eso también, porque digamos, bueno, me quedo sin internet, pero ¿usted me va a descontar ese tiempo de la factura? No, claro que no;21
628;Neutral;El contrato sigue alargando, pues porque no es una falla ocasionada por parte de nosotros;21
629;Neutral;Es directamente ocurrido por;21
630;Neutral;Por técnicas de fallas naturales;21
631;Enojado;Pueden ser, por no sé, un rayo, la lluvia;21
632;Neutral;Pero igual;21
633;Neutral;No, no, ok, pues no, no está novio porque tampoco es culpa mía;21
634;Enojado;Entonces yo, porque si tengo que pagar por el;21
635;Neutral;O sea, entiende pronto que si usted no controla;21
636;Enojado;Señor Camilo, si usted no se ha dado cuenta, en la letra chiquita siempre aparece, siempre aclaramos ese tipo de inconvenientes que se llegan a surgir;21
637;Enojado;Pero, pero, no, pero, qué raro porque a mí;21
638;Neutral;Ok, bueno, pues, bueno, yo igual;21
639;Neutral;Entonces, ¿y cómo hago entonces para generar una queja de que entonces quiero cancelar el contrato? Ubíquese, mire, en los centros de servicios de Claro se puede ubicar y ahí pueden con mucho gusto darle la atención que necesitan;21
640;Feliz;Ok, vale, muchas gracias;21
641;Neutral;Pero es la misma información que les estoy suministrando;21
642;Feliz;Vale, Alejandro, hasta luego, muchas gracias;21
643;Neutral;Ajá;21
644;Neutral;Buen día, Alejandro Gutiérrez, ¿en qué le puedo colaborar? Hola, Servicio Claro;22
645;Feliz;Hola Alejandro, buenas tardes, muchas gracias;22
646;Neutral;Hablas con Camilo;22
647;Enojado;Lo que pasa es que es para quejarme un tema de mi plan móvil;22
648;Enojado;Cuéntame Camilo, ¿en qué le puedo colaborar? Lo que pasa es que, no sé, o sea, últimamente como que me toca reiniciar mucho el celular o me toca ponerlo en modo avión para que los datos me funcionen porque se me van de la nada y quedo incomunicado por varios, o sea, como a veces incluso por varias horas;22
649;Neutral;¿Hogar o móvil? Móvil;22
650;Neutral;Permítame un momento, lo trasfero a la línea de móvil;22
651;Neutral;Pero o sea, no es acá;22
652;Neutral;No, permítame hermano;22
653;Neutral;Ok;22
654;Feliz;Gracias por su permanencia en la línea;22
655;Neutral;Yo lo estoy trasferiendo;22
656;Feliz;Ok, vale, gracias;22
657;Neutral;Buenas tardes, habla Camilo Farfán;22
658;Neutral;¿En qué le puedo colaborar? Hola Camilo, buenas tardes;22
659;Neutral;Lo que pasa es que, no sé, bueno, creo que sí, este ya es el departamento encargado;22
660;Enojado;Lo que pasa es que tengo un inconveniente con mi línea móvil que me toca reiniciar el celular o poner el celular en modo avión porque se me van los datos;22
661;Neutral;¿Me puedes ayudar, por favor? ¿Su línea telefónica es 324-33-7315? 324-33-7315, sí, es esa misma;22
662;Feliz;¿Qué pasa? Bueno, aquí me parece que el servicio está funcionando correctamente, no veo ninguna anomalía;22
663;Enojado;No, pero Camilo, sí, sí está fallando;22
664;Neutral;Pero permítame, le estoy hablando;22
665;Neutral;Permítame si termino de hablar y ya sigue usted, señor;22
666;Enojado;Mamera;22
667;Neutral;Voy a revisar un momento dentro del sistema a ver si de pronto había alguna inconsistencia o falta alguna configuración;22
668;Feliz;¿Ok? Vale, gracias;22
669;Neutral;Gracias;22
670;Neutral;Bueno, listo, señor;22
671;Neutral;Acabo de revisar;22
672;Neutral;Estoy reiniciando en este momento los servicios dentro de su telefonía;22
673;Neutral;Es posible que durante la conversación de esta llamada se pueda caer, pero es para informarle que el sistema se va a estar reiniciando con el fin de que se pueda de pronto mejorar;22
674;Feliz;Pero sea buenísimo;22
675;Neutral;Permítame que estamos verificando con el fin de poderle mejorar sus servicios;22
676;Neutral;Hola, si servicios, habla Lissimaco Castro, ¿en qué le puedo colaborar? Hola, buenas, perdón, ¿con quién hablo? Lissimaco Castro;23
677;Neutral;Ok, vale;23
678;Enojado;Hola, bueno, hablas con Carlos, lo que pasa es que tengo un inconveniente aquí con la factura que me llegó de mi plan hogar;23
679;Enojado;¿Qué problema tiene con esa factura? Ok, me llegó por un precio más elevado de lo que se había acordado;23
680;Neutral;Señor Castro, ¿usted es el titular de la línea? Sí, señor;23
681;Neutral;Dígame su número de documento, hágame el favor;23
682;Neutral;¿Qué cambio? Mil ciento;23
683;Neutral;Ok, bueno, le pido por favor un poco de receta porque creo que, o sea, necesito solventar eso y creo que está como un poco dispuesto, entonces mi cédula es;23
684;Neutral;¿Mil ciento cinco? Sí;23
685;Neutral;Cincuenta y dos ochenta y seis;23
686;Neutral;Tranquilo, señor Castro, igual le he estado llamando, está siendo monitoreada y supervisada para el efecto de calidad;23
687;Neutral;Permítame un momento en la línea;23
688;Neutral;Ok;23
689;Neutral;¿Qué tal el hueón aquí? ¿Qué está haciendo con el teléfono? Sí, sí, sí;23
690;Neutral;Un más respeto a;23
691;Neutral;Permítame un momento en la línea, por favor, que estamos verificando en el sistema;23
692;Feliz;Ok, vale, gracias;23
693;Feliz;Espero que sea pronto;23
694;Enojado;¿Qué tal el hueón? Es que yo no me quería respetar hasta el momento;23
695;Neutral;Ay, se lo dio a poner el micrófono;23
696;Enojado;Señor Carlos, gracias por esperar en la línea;23
697;Enojado;Bueno, le informo, el servicio está en este momento con unas dificultades técnicas debido a que están haciendo una;23
698;Neutral;Justamente haciendo unos cambios dentro de las antenas en el sector en el cual usted se encuentra;23
699;Neutral;Me parece que usted está ubicado por el sector de la localidad de Kené;23
700;Neutral;Sí, señor, en la localidad de Kené;23
701;Neutral;Ok, sí, efectivamente;23
702;Neutral;Entonces, señor;23
703;Neutral;Pero;23
704;Neutral;Señor;23
705;Enojado;Pero, o sea, bueno, pero necesito saber, digamos, por qué la factura me llegó más cara;23
706;Neutral;Eh;23
707;Neutral;Es para;23
708;Neutral;Es para;23
709;Enojado;Hay muchas razones, porque hubo una inconsistencia dentro del sistema y por esa razón se van a hacer esas debidas correcciones, así que le pido, por favor, que se acerque a los centros de servicios más cercanos de Claro para que nosotros podamos realizar esos cambios;23
710;Enojado;Pero, o sea, y me toca;23
711;Neutral;Señor, permítame, por favor, terminar de hablar, le estoy explicando;23
712;Enojado;Maricón;23
713;Neutral;Entonces;23
714;Neutral;Ok, entonces;23
715;Neutral;Al ser que los centros de servicio, nosotros vamos a hacer las correcciones pertinentes, muy seguramente el asesor de ahí en la línea le va a informar de que tiene que cancelar esa factura, pero en el próximo o en la futura facturación;23
716;Neutral;Eh;23
717;Neutral;Se va a hacer esas correcciones donde se va a descontar los pagos que se realizaron durante este corte, ¿de acuerdo? ¿Algo más en que le ponga ahora? O sea, usted me está asegurando que si yo realizo este pago;23
718;Neutral;O sea, o sea;23
719;Neutral;Pero de general, o sea, que si yo pago este pago aumentado en la próxima factura se va a ver reflejado ese;23
720;Neutral;Sí, señor;23
721;Neutral;Sí, señor;23
722;Feliz;Bueno, ok, bueno;23
